metric,finite_count,min,p01,p05,p10,p50,p90,p95,p99,max,mean,std,area_weighted_mean
k_xx_m2,10239,3.929985372731877e-21,2.957763188431249e-20,3.376286314879826e-20,3.91982968645055e-20,8.113032864223241e-20,1.475325940896163e-19,1.6015211746479596e-19,2.603802383440689e-19,5.769737525678933e-14,2.4079276552227634e-17,1.1258628790736142e-15,6.1340034443485e-18
k_xy_m2,10239,-2.076691502094963e-14,-9.371820223640794e-20,-5.764327058231647e-20,-5.310114768034956e-20,-2.920109680962826e-20,-1.410857419992175e-20,-1.2152208081467961e-20,-1.0645825137256474e-20,-1.4145127383328296e-21,-8.666811751843327e-18,4.0522985024716867e-16,-2.207801094938163e-18
k_yx_m2,10239,-2.076691502094963e-14,-9.371820223640794e-20,-5.764327058231647e-20,-5.310114768034956e-20,-2.920109680962826e-20,-1.410857419992175e-20,-1.2152208081467961e-20,-1.0645825137256474e-20,-1.4145127383328296e-21,-8.666811751843327e-18,4.0522985024716867e-16,-2.207801094938163e-18
k_yy_m2,10239,3.010779274218518e-21,2.265955534482047e-20,2.5865879632018987e-20,3.002998957786952e-20,6.215430563212822e-20,1.130253765417806e-19,1.2269324952984097e-19,1.9947845873977135e-19,4.4202215816186286e-14,1.8447240868794206e-17,8.625285593799821e-16,4.6992873221285275e-18
k_eigen_min_m2,10239,1.983075613414398e-21,1.4924910636895132e-20,1.7036783651662075e-20,1.9779510412107157e-20,4.0938466935531615e-20,7.444513446611339e-20,8.08129619984677e-20,1.3138819916681148e-19,2.9114168877993026e-14,1.2150433548863381e-17,5.681118395581704e-16,3.095225933279151e-18
k_eigen_max_m2,10239,4.957689033535996e-21,3.731227659223783e-20,4.2591959129155175e-20,4.9448776030267866e-20,1.02346167338829e-19,1.861128361652835e-19,2.0203240499616923e-19,3.2847049791702875e-19,7.278542219498259e-14,3.0376083872158454e-17,1.420279598895426e-15,7.738064833197877e-18
k_eigen_ratio,10239,2.499999999999998,2.4999999999999987,2.499999999999999,2.499999999999999,2.4999999999999996,2.5000000000000004,2.5000000000000004,2.500000000000001,2.5000000000000013,2.5,5.613148753473337e-16,2.5
log10_k_eigen_min,10239,-20.70266072610606,-19.82608826064765,-19.768612419261732,-19.703784472189557,-19.38786842483681,-19.128163681368157,-19.092518976972137,-18.881539195798123,-13.53589560318101,-19.379488502669204,0.33333914373551093,-19.43831453233365
log10_k_eigen_max,10239,-20.304720717434023,-19.428148251975614,-19.370672410589695,-19.30584446351752,-18.989928416164773,-18.730223672696116,-18.6945789683001,-18.483599187126085,-13.137955594508972,-18.981548493997163,0.33333914373551093,-19.04037452366161
k_mag_rd,10239,1.1584268887532223e-20,2.3619524584124378e-20,2.703857478056863e-20,3.144411828383288e-20,6.510311241242571e-20,1.1678705931121582e-19,1.2446525219422006e-19,1.5951904363918428e-19,2.841854729087051e-19,7.117289740278335e-20,3.3739782123808036e-20,6.657648715177157e-20
k_anisotropy_ratio_rd,10239,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,0.0,2.5000000000000004
k_theta_deg_rd,10239,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,144.0,0.0,144.0
n_rd,10239,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.105,0.0,0.105
