run_id,run_kind,support_variant,support_description,support_cell_count,compared_output_times,compared_rows,area_weighted_mean_residual_log10,area_weighted_mae_log10,area_weighted_rmse_log10,area_weighted_p50_abs_log10,area_weighted_p90_abs_log10,mean_output_mae_log10,std_output_mae_log10,p90_output_mae_log10,ert_mae_rank_within_support,default_support_rank,default_support_mae_log10,rank_delta_vs_default
direct_fit_observation_run,direct_reference,radius_le_1p2m,cumulative radial cap r <= 1.20 m inside the current ERT support,115,80,9200,0.24847935191454257,0.35517678183406487,0.41880658603682086,0.3230093790512602,0.6569285193100982,0.35517678183406504,0.08097875238885134,0.46069015613061065,3.0,4.0,0.25418019577392215,-1.0
direct_fit_observation_run,direct_reference,radius_le_1p25m,cumulative radial cap r <= 1.25 m inside the current ERT support,484,80,38720,0.17066273556213823,0.31560989338589357,0.3876858057996681,0.2830863433901027,0.5951529160960165,0.31560989338589357,0.04966204799206351,0.36568732848137725,3.0,4.0,0.25418019577392215,-1.0
direct_fit_observation_run,direct_reference,radius_le_1p3m,cumulative radial cap r <= 1.30 m inside the current ERT support,894,80,71520,0.13226570882859473,0.29299384399451867,0.3592971813556414,0.2643180247671672,0.534151196490001,0.29299384399451867,0.03512786534500312,0.32883684844188127,3.0,4.0,0.25418019577392215,-1.0
direct_fit_observation_run,direct_reference,radius_le_1p35m,cumulative radial cap r <= 1.35 m inside the current ERT support,1289,80,103120,0.12512565690463173,0.2736048728041711,0.3326257389481667,0.2501008483262601,0.4887639988076901,0.2736048728041712,0.028545199540646504,0.3049356698240867,4.0,4.0,0.25418019577392215,0.0
direct_fit_observation_run,direct_reference,radius_le_1p4m,cumulative radial cap r <= 1.40 m inside the current ERT support,1587,80,126960,0.13705514711005107,0.262694417411552,0.3157176055048742,0.2441260528366418,0.4603357246447688,0.262694417411552,0.02499544950089173,0.2894942384380435,4.0,4.0,0.25418019577392215,0.0
direct_fit_observation_run,direct_reference,radius_le_1p45m,cumulative radial cap r <= 1.45 m inside the current ERT support,1834,80,146720,0.14877423358761818,0.257814233489004,0.30602274450861355,0.2448740599439058,0.4443272763979859,0.257814233489004,0.022305893763908447,0.28170543761183475,4.0,4.0,0.25418019577392215,0.0
direct_fit_observation_run,direct_reference,radius_le_1p5m,cumulative radial cap r <= 1.50 m inside the current ERT support,2035,80,162800,0.15730396685331227,0.25418019577392215,0.2999658616045645,0.2453246570292531,0.4381918993439517,0.25418019577392215,0.02059124321491161,0.2760790143169209,4.0,4.0,0.25418019577392215,0.0
direct_fit_observation_run,direct_reference,inner_annulus_1p15_1p30m,inner available annulus 1.15 m < r <= 1.30 m,886,80,70880,0.12897470257279833,0.29109084158308673,0.3572556680637031,0.2628466866644177,0.5279583580306837,0.29109084158308685,0.034521470036518176,0.3262579587026767,3.0,4.0,0.25418019577392215,-1.0
direct_fit_observation_run,direct_reference,outer_annulus_1p30_1p50m,outer available annulus 1.30 m < r <= 1.50 m,1141,80,91280,0.16724618158739216,0.23876803631613341,0.27285109292231524,0.2394882297515521,0.4108430272501309,0.23876803631613336,0.017015092180266204,0.255608973920892,3.0,4.0,0.25418019577392215,-1.0
local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000,local_basis,radius_le_1p2m,cumulative radial cap r <= 1.20 m inside the current ERT support,115,80,9200,0.24847915917953745,0.35517669568671584,0.41880651256361967,0.3230093128061326,0.6569285073599604,0.355176695686716,0.08097871109521108,0.4606900350580592,2.0,3.0,0.25417961828344127,-1.0
local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000,local_basis,radius_le_1p25m,cumulative radial cap r <= 1.25 m inside the current ERT support,484,80,38720,0.17066266710206915,0.3156101807284574,0.38768631503966305,0.2830862954176951,0.595152919424462,0.3156101807284574,0.04966215434166263,0.36568741332322074,4.0,3.0,0.25417961828344127,1.0
local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000,local_basis,radius_le_1p3m,cumulative radial cap r <= 1.30 m inside the current ERT support,894,80,71520,0.1322660084541817,0.292994364563259,0.35929803970560553,0.2643179585224959,0.5341511908309526,0.292994364563259,0.03512811333340427,0.32883746209628745,4.0,3.0,0.25417961828344127,1.0
local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000,local_basis,radius_le_1p35m,cumulative radial cap r <= 1.35 m inside the current ERT support,1289,80,103120,0.12512578144786127,0.2736048255744101,0.3326260426913404,0.2501007099586843,0.4887650378675854,0.2736048255744102,0.02854529522383254,0.30493578093643947,3.0,3.0,0.25417961828344127,0.0
local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000,local_basis,radius_le_1p4m,cumulative radial cap r <= 1.40 m inside the current ERT support,1587,80,126960,0.1370549284999378,0.26269404159983234,0.31571753487800397,0.2441260505818947,0.460335846668118,0.26269404159983234,0.024995469379388666,0.2894939090500415,2.0,3.0,0.25417961828344127,-1.0
local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000,local_basis,radius_le_1p45m,cumulative radial cap r <= 1.45 m inside the current ERT support,1834,80,146720,0.14877392836822245,0.25781379130883675,0.30602256257002314,0.2448741077206855,0.4443307458163095,0.25781379130883686,0.022305892719343214,0.28170499096801704,3.0,3.0,0.25417961828344127,0.0
local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000,local_basis,radius_le_1p5m,cumulative radial cap r <= 1.50 m inside the current ERT support,2035,80,162800,0.1573035717320095,0.25417961828344127,0.29996554322852154,0.2453245412034121,0.4381915737701618,0.2541796182834413,0.020591216745527375,0.27607879297388244,3.0,3.0,0.25417961828344127,0.0
local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000,local_basis,inner_annulus_1p15_1p30m,inner available annulus 1.15 m < r <= 1.30 m,886,80,70880,0.1289750053251056,0.29109136741868497,0.3572565400467997,0.2628466825277247,0.5279575796028835,0.291091367418685,0.03452172048332049,0.3262584433440391,4.0,3.0,0.25417961828344127,1.0
local_basis_sampler_002_basis_024_det_l_0p0075_s_1p000,local_basis,outer_annulus_1p30_1p50m,outer available annulus 1.30 m < r <= 1.50 m,1141,80,91280,0.16724551059534964,0.23876702280727785,0.2728501551019954,0.2394861350136139,0.4108423435635386,0.2387670228072778,0.017014957495180536,0.25560760258899884,2.0,3.0,0.25417961828344127,-1.0
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,local_basis,radius_le_1p2m,cumulative radial cap r <= 1.20 m inside the current ERT support,115,80,9200,0.24847905979117255,0.35517667615523263,0.41880650171466394,0.3230092759350329,0.6569285006228291,0.35517667615523274,0.08097870841083672,0.46069007166638837,1.0,2.0,0.25417939467666356,-1.0
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,local_basis,radius_le_1p25m,cumulative radial cap r <= 1.25 m inside the current ERT support,484,80,38720,0.1706626361650851,0.31561023438036945,0.387686378949776,0.28308626434757844,0.5951528891927198,0.3156102343803694,0.04966218215620113,0.36568737523472933,5.0,2.0,0.25417939467666356,3.0
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,local_basis,radius_le_1p3m,cumulative radial cap r <= 1.30 m inside the current ERT support,894,80,71520,0.13226619225860203,0.292994492148988,0.3592981274936293,0.26432043384296167,0.534151178003462,0.292994492148988,0.0351281676355264,0.32883759509679555,5.0,2.0,0.25417939467666356,3.0
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,local_basis,radius_le_1p35m,cumulative radial cap r <= 1.35 m inside the current ERT support,1289,80,103120,0.12512632117657368,0.2736050198228531,0.33262615676317997,0.2501013747044316,0.4887650119559739,0.2736050198228531,0.028545357972484704,0.3049360587613876,5.0,2.0,0.25417939467666356,3.0
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,local_basis,radius_le_1p4m,cumulative radial cap r <= 1.40 m inside the current ERT support,1587,80,126960,0.13705545623884746,0.2626943291478255,0.31571766529000367,0.24412608146125359,0.460335834790532,0.2626943291478255,0.024995547737293844,0.289494235583593,3.0,2.0,0.25417939467666356,1.0
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,local_basis,radius_le_1p45m,cumulative radial cap r <= 1.45 m inside the current ERT support,1834,80,146720,0.1487740703481,0.25781378811818473,0.30602247484512524,0.24487157097827916,0.44432929355641493,0.2578137881181848,0.022305937798627516,0.28170494682634656,2.0,2.0,0.25417939467666356,0.0
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,local_basis,radius_le_1p5m,cumulative radial cap r <= 1.50 m inside the current ERT support,2035,80,162800,0.1573030870789704,0.25417939467666356,0.29996530991192905,0.24532451407323186,0.43819136703140216,0.2541793946766636,0.02059123443774897,0.2760788522574323,2.0,2.0,0.25417939467666356,0.0
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,local_basis,inner_annulus_1p15_1p30m,inner available annulus 1.15 m < r <= 1.30 m,886,80,70880,0.12897519104559374,0.2910914963675532,0.35725662939387914,0.26284667551374397,0.5279571799172862,0.29109149636755327,0.034521774912180815,0.326258442212632,5.0,2.0,0.25417939467666356,3.0
local_basis_sampler_003_basis_029_det_l_0p0100_s_1p000,local_basis,outer_annulus_1p30_1p50m,outer available annulus 1.30 m < r <= 1.50 m,1141,80,91280,0.1672447605106021,0.2387666597486537,0.27284975084268903,0.23948719833151855,0.4108413218166287,0.23876665974865366,0.017014970346668733,0.25560730207451066,1.0,2.0,0.25417939467666356,-1.0
broad_continuous_001_001_length_0p023m_shift_1p004,broad_continuous,radius_le_1p2m,cumulative radial cap r <= 1.20 m inside the current ERT support,115,80,9200,0.24859333347732965,0.35526295569614186,0.4188432383569178,0.32305165524422397,0.6569835465561393,0.35526295569614197,0.08095854003121011,0.4605990502826269,4.0,1.0,0.25407209193077057,3.0
broad_continuous_001_001_length_0p023m_shift_1p004,broad_continuous,radius_le_1p25m,cumulative radial cap r <= 1.25 m inside the current ERT support,484,80,38720,0.1699662907690565,0.3147814513212449,0.3866739794439977,0.28273674434540363,0.5932817461069348,0.3147814513212449,0.04935975431403396,0.36483053107749164,1.0,1.0,0.25407209193077057,0.0
broad_continuous_001_001_length_0p023m_shift_1p004,broad_continuous,radius_le_1p3m,cumulative radial cap r <= 1.30 m inside the current ERT support,894,80,71520,0.1309425574059417,0.2917449513633752,0.3579009904683085,0.26348083774919995,0.5309287937776401,0.2917449513633753,0.03477970914517243,0.327338952579573,1.0,1.0,0.25407209193077057,0.0
broad_continuous_001_001_length_0p023m_shift_1p004,broad_continuous,radius_le_1p35m,cumulative radial cap r <= 1.35 m inside the current ERT support,1289,80,103120,0.12344332337609011,0.27263948280496186,0.3314624608898208,0.24941179735885788,0.48549121314408383,0.2726394828049618,0.02834943323912852,0.3038308811825041,1.0,1.0,0.25407209193077057,0.0
broad_continuous_001_001_length_0p023m_shift_1p004,broad_continuous,radius_le_1p4m,cumulative radial cap r <= 1.40 m inside the current ERT support,1587,80,126960,0.13559607943639765,0.261821614790431,0.3147043050513488,0.24345704204957275,0.45765116228150715,0.261821614790431,0.024875411250608256,0.2886367835710961,1.0,1.0,0.25407209193077057,0.0
broad_continuous_001_001_length_0p023m_shift_1p004,broad_continuous,radius_le_1p45m,cumulative radial cap r <= 1.45 m inside the current ERT support,1834,80,146720,0.14773711285257418,0.2572625504452232,0.3053097987321426,0.24454946683127332,0.4424153380453846,0.2572625504452232,0.022276158338822228,0.2811062659085241,1.0,1.0,0.25407209193077057,0.0
broad_continuous_001_001_length_0p023m_shift_1p004,broad_continuous,radius_le_1p5m,cumulative radial cap r <= 1.50 m inside the current ERT support,2035,80,162800,0.15670929991994564,0.25407209193077057,0.2996437188924169,0.24542204385711908,0.43654695989105097,0.25407209193077057,0.02064077174594722,0.2761122345662672,1.0,1.0,0.25407209193077057,0.0
broad_continuous_001_001_length_0p023m_shift_1p004,broad_continuous,inner_annulus_1p15_1p30m,inner available annulus 1.15 m < r <= 1.30 m,886,80,70880,0.12763787238208205,0.2898290351827514,0.3558365290355974,0.2620107377780465,0.5243036777193788,0.28982903518275144,0.034172387210930945,0.3248435281904874,1.0,1.0,0.25407209193077057,0.0
broad_continuous_001_001_length_0p023m_shift_1p004,broad_continuous,outer_annulus_1p30_1p50m,outer available annulus 1.30 m < r <= 1.50 m,1141,80,91280,0.16694078195112672,0.2391129179436663,0.27308510427779403,0.23961016962157267,0.4108059212614181,0.23911291794366626,0.017207669556900902,0.2564540714007174,4.0,1.0,0.25407209193077057,3.0
broad_continuous_001_003_length_0p021m,broad_continuous,radius_le_1p2m,cumulative radial cap r <= 1.20 m inside the current ERT support,115,80,9200,0.24874241455505908,0.3553026596777371,0.4188652306758715,0.3231171547620453,0.6569203454602901,0.3553026596777372,0.08100458922996741,0.46067283829908584,5.0,5.0,0.25514145132529065,0.0
broad_continuous_001_003_length_0p021m,broad_continuous,radius_le_1p25m,cumulative radial cap r <= 1.25 m inside the current ERT support,484,80,38720,0.17070113877566306,0.3151739893921534,0.38698247836624267,0.2833142573377567,0.59397353909734,0.3151739893921534,0.04950256806948212,0.36548094494635935,2.0,5.0,0.25514145132529065,-3.0
broad_continuous_001_003_length_0p021m,broad_continuous,radius_le_1p3m,cumulative radial cap r <= 1.30 m inside the current ERT support,894,80,71520,0.13199890859409893,0.29247075323908145,0.35843643071699016,0.26413235138369107,0.5313659437501657,0.29247075323908145,0.0349030799542837,0.32819725460662974,2.0,5.0,0.25514145132529065,-3.0
broad_continuous_001_003_length_0p021m,broad_continuous,radius_le_1p35m,cumulative radial cap r <= 1.35 m inside the current ERT support,1289,80,103120,0.12469154970435703,0.27349848779154884,0.33210846225436746,0.2503812248544217,0.48624876073827106,0.27349848779154884,0.028445260465347687,0.304801500932901,2.0,5.0,0.25514145132529065,-3.0
broad_continuous_001_003_length_0p021m,broad_continuous,radius_le_1p4m,cumulative radial cap r <= 1.40 m inside the current ERT support,1587,80,126960,0.13693697806746333,0.2628531336198699,0.3155078263503509,0.24439005393744928,0.45864801391266274,0.2628531336198699,0.024965126463025556,0.2898023575829288,5.0,5.0,0.25514145132529065,0.0
broad_continuous_001_003_length_0p021m,broad_continuous,radius_le_1p45m,cumulative radial cap r <= 1.45 m inside the current ERT support,1834,80,146720,0.14905386059160228,0.2583257311013654,0.30616915786745563,0.24543722066974571,0.443383577124699,0.2583257311013655,0.022340580593695453,0.2822420727318134,5.0,5.0,0.25514145132529065,0.0
broad_continuous_001_003_length_0p021m,broad_continuous,radius_le_1p5m,cumulative radial cap r <= 1.50 m inside the current ERT support,2035,80,162800,0.15804554089095485,0.25514145132529065,0.30051165626839416,0.24635140408844647,0.43747344334657545,0.25514145132529065,0.020688455352420865,0.2772683016949286,5.0,5.0,0.25514145132529065,0.0
broad_continuous_001_003_length_0p021m,broad_continuous,inner_annulus_1p15_1p30m,inner available annulus 1.15 m < r <= 1.30 m,886,80,70880,0.1287046950917028,0.2905620799307214,0.3563806049403609,0.262748938708544,0.5248710012373945,0.2905620799307215,0.034296633444438306,0.3258616801341619,2.0,5.0,0.25514145132529065,-3.0
broad_continuous_001_003_length_0p021m,broad_continuous,outer_annulus_1p30_1p50m,outer available annulus 1.30 m < r <= 1.50 m,1141,80,91280,0.16838816181687222,0.2403186974766074,0.2741366577244353,0.2409432026992444,0.4117493406598767,0.2403186974766074,0.017225001446547653,0.2577782340389521,5.0,5.0,0.25514145132529065,0.0
adaptive_combined_001_length_0p050m,adaptive_combined,radius_le_1p2m,cumulative radial cap r <= 1.20 m inside the current ERT support,115,80,9200,0.2515598582335519,0.3569862664559501,0.4203999319131624,0.3248755488169117,0.6620760288455647,0.3569862664559503,0.08213883814172121,0.46438505935697777,6.0,6.0,0.2687280860557519,0.0
adaptive_combined_001_length_0p050m,adaptive_combined,radius_le_1p25m,cumulative radial cap r <= 1.25 m inside the current ERT support,484,80,38720,0.18170622712806417,0.3228536387044978,0.3954039572891899,0.28908118377356673,0.6122164330131408,0.3228536387044978,0.05392056688289376,0.37818286821781183,6.0,6.0,0.2687280860557519,0.0
adaptive_combined_001_length_0p050m,adaptive_combined,radius_le_1p3m,cumulative radial cap r <= 1.30 m inside the current ERT support,894,80,71520,0.14596526621086936,0.3043484327502242,0.3716618827183027,0.2738060296867879,0.5625121208655055,0.3043484327502242,0.039901654915747035,0.3459858322482201,6.0,6.0,0.2687280860557519,0.0
adaptive_combined_001_length_0p050m,adaptive_combined,radius_le_1p35m,cumulative radial cap r <= 1.35 m inside the current ERT support,1289,80,103120,0.13853058047896796,0.28714630087783416,0.3479810660641714,0.26089380695490183,0.5167729756556103,0.28714630087783416,0.03367417652112564,0.3222428531091578,6.0,6.0,0.2687280860557519,0.0
adaptive_combined_001_length_0p050m,adaptive_combined,radius_le_1p4m,cumulative radial cap r <= 1.40 m inside the current ERT support,1587,80,126960,0.15097648902206118,0.2768832979653995,0.33264158533734556,0.25414578770763585,0.4888216350124983,0.2768832979653995,0.030242182592169303,0.3086252735514342,6.0,6.0,0.2687280860557519,0.0
adaptive_combined_001_length_0p050m,adaptive_combined,radius_le_1p45m,cumulative radial cap r <= 1.45 m inside the current ERT support,1834,80,146720,0.16250860763793568,0.27188216549020816,0.3229667134115247,0.25417238290184896,0.47099367972863404,0.2718821654902082,0.0272506363791945,0.30143294611928567,6.0,6.0,0.2687280860557519,0.0
adaptive_combined_001_length_0p050m,adaptive_combined,radius_le_1p5m,cumulative radial cap r <= 1.50 m inside the current ERT support,2035,80,162800,0.17125887061295386,0.2687280860557519,0.31709670574902565,0.25516343161845145,0.4631460715860618,0.2687280860557519,0.025159107790327952,0.29453975818299866,6.0,6.0,0.2687280860557519,0.0
adaptive_combined_001_length_0p050m,adaptive_combined,inner_annulus_1p15_1p30m,inner available annulus 1.15 m < r <= 1.30 m,886,80,70880,0.14280423325241637,0.30255274930610243,0.36980259477940514,0.27244314846813356,0.5569150062812227,0.30255274930610243,0.03924449824748735,0.3434682393623109,6.0,6.0,0.2687280860557519,0.0
adaptive_combined_001_length_0p050m,adaptive_combined,outer_annulus_1p30_1p50m,outer available annulus 1.30 m < r <= 1.50 m,1141,80,91280,0.1813024785235417,0.25458392573161087,0.292621141296933,0.2491475695265566,0.436648051636481,0.25458392573161087,0.021038267845719126,0.27639976566443764,6.0,6.0,0.2687280860557519,0.0
