support_id,previous_per_point_log10_a,previous_per_point_b,current_global_log10_a,current_global_b,delta_log10_a_current_minus_previous,delta_b_current_minus_previous
0,1.2999999999985328,-0.4139354244375369,1.0603207942605046,-0.4811296195510062,-0.23967920573802814,-0.0671941951134693
1,1.2226097803214235,-0.3380150348548891,1.0603207942605046,-0.4811296195510062,-0.1622889860609189,-0.1431145846961171
2,1.2476629108632316,-0.3232877768187735,1.0603207942605046,-0.4811296195510062,-0.18734211660272693,-0.15784184273223267
3,0.4273657103827434,-1.0982081993786283,1.0603207942605046,-0.4811296195510062,0.6329550838777612,0.6170785798276222
4,0.3510609280321806,-1.3387879631816677,1.0603207942605046,-0.4811296195510062,0.709259866228324,0.8576583436306615
5,-0.142631009532052,-2.0,1.0603207942605046,-0.4811296195510062,1.2029518037925566,1.5188703804489938
6,0.923156022302026,-0.7388368336455721,1.0603207942605046,-0.4811296195510062,0.13716477195847865,0.2577072140945659
7,1.0584106184869084,-0.5608814360540263,1.0603207942605046,-0.4811296195510062,0.001910175773596201,0.0797518165030201
8,1.0590722180098913,-0.5222058254642179,1.0603207942605046,-0.4811296195510062,0.0012485762506133646,0.041076205913211705
9,1.2652109747160571,-0.2000000000062725,1.0603207942605046,-0.4811296195510062,-0.20489018045555252,-0.2811296195447337
10,1.2314581340624906,-0.200000000000173,1.0603207942605046,-0.4811296195510062,-0.17113733980198598,-0.28112961955083315
11,1.0376293054968275,-0.5428122935241819,1.0603207942605046,-0.4811296195510062,0.022691488763677103,0.06168267397317573
12,1.2999999999999998,-0.2729802765374834,1.0603207942605046,-0.4811296195510062,-0.2396792057394952,-0.20814934301352278
13,1.1101416273771934,-0.4580188864741636,1.0603207942605046,-0.4811296195510062,-0.04982083311668872,-0.023110733076842582
14,0.6597248086146688,-0.7731525716077327,1.0603207942605046,-0.4811296195510062,0.4005959856458359,0.29202295205672646
15,0.926140146723162,-0.6085367445604927,1.0603207942605046,-0.4811296195510062,0.1341806475373426,0.12740712500948648
16,1.299999999997527,-0.3614998267374116,1.0603207942605046,-0.4811296195510062,-0.23967920573702228,-0.1196297928135946
17,1.2141001398848472,-0.285848179283336,1.0603207942605046,-0.4811296195510062,-0.1537793456243426,-0.1952814402676702
18,1.2575756503011877,-0.2000000002193788,1.0603207942605046,-0.4811296195510062,-0.19725485604068305,-0.2811296193316274
19,1.271257840497337,-0.2,1.0603207942605046,-0.4811296195510062,-0.2109370462368323,-0.2811296195510062
