support_id,angle_deg,center_x_m,center_y_m,depth_from_niche_boundary_m,support_set,depth,depth_order,previous_log10_a,previous_b,current_global_log10_a,current_global_b
0,0.0,1.2333561665769093,0.0035303765557435,0.15,15cm,15 cm,0,1.2999999999985328,-0.4139354244375369,1.0603207942605046,-0.4811296195510062
1,36.0,0.9963179470265884,0.7330590025470993,0.15,15cm,15 cm,0,1.2226097803214235,-0.3380150348548891,1.0603207942605046,-0.4811296195510062
2,72.0,0.3757438316110887,1.183932489175767,0.15,15cm,15 cm,0,1.2476629108632316,-0.3232877768187735,1.0603207942605046,-0.4811296195510062
3,108.0,-0.3913279601192691,1.1839324891757672,0.15,15cm,15 cm,0,0.4273657103827434,-1.0982081993786283,1.0603207942605046,-0.4811296195510062
4,144.0,-1.011902075534769,0.7330590025470994,0.15,15cm,15 cm,0,0.3510609280321806,-1.3387879631816677,1.0603207942605046,-0.4811296195510062
5,180.0,-1.24894029508509,0.0035303765557436,0.15,15cm,15 cm,0,-0.142631009532052,-2.0,1.0603207942605046,-0.4811296195510062
6,216.0,-1.0119020755347692,-0.7259982494356121,0.15,15cm,15 cm,0,0.923156022302026,-0.7388368336455721,1.0603207942605046,-0.4811296195510062
7,252.0,-0.3913279601192694,-1.17687173606428,0.15,15cm,15 cm,0,1.0584106184869084,-0.5608814360540263,1.0603207942605046,-0.4811296195510062
8,288.0,0.3757438316110884,-1.1768717360642802,0.15,15cm,15 cm,0,1.0590722180098913,-0.5222058254642179,1.0603207942605046,-0.4811296195510062
9,324.0,0.9963179470265884,-0.7259982494356125,0.15,15cm,15 cm,0,1.2652109747160571,-0.2000000000062725,1.0603207942605046,-0.4811296195510062
10,18.0,1.3152685258102064,0.4334188215771645,0.3,30cm,30 cm,1,1.2314581340624906,-0.200000000000173,1.0603207942605046,-0.4811296195510062
11,54.0,0.8099043495811366,1.1289929369926646,0.3,30cm,30 cm,1,1.0376293054968275,-0.5428122935241819,1.0603207942605046,-0.4811296195510062
12,90.0,-0.0077920642540902,1.3946786073867432,0.3,30cm,30 cm,1,1.2999999999999998,-0.2729802765374834,1.0603207942605046,-0.4811296195510062
13,126.0,-0.8254884780893169,1.1289929369926646,0.3,30cm,30 cm,1,1.1101416273771934,-0.4580188864741636,1.0603207942605046,-0.4811296195510062
14,162.0,-1.330852654318387,0.4334188215771647,0.3,30cm,30 cm,1,0.6597248086146688,-0.7731525716077327,1.0603207942605046,-0.4811296195510062
15,198.0,-1.3308526543183872,-0.4263580684656774,0.3,30cm,30 cm,1,0.926140146723162,-0.6085367445604927,1.0603207942605046,-0.4811296195510062
16,234.0,-0.8254884780893172,-1.121932183881177,0.3,30cm,30 cm,1,1.299999999997527,-0.3614998267374116,1.0603207942605046,-0.4811296195510062
17,270.0,-0.0077920642540905,-1.3876178542752562,0.3,30cm,30 cm,1,1.2141001398848472,-0.285848179283336,1.0603207942605046,-0.4811296195510062
18,306.0,0.8099043495811362,-1.1219321838811775,0.3,30cm,30 cm,1,1.2575756503011877,-0.2000000002193788,1.0603207942605046,-0.4811296195510062
19,342.0,1.3152685258102064,-0.4263580684656778,0.3,30cm,30 cm,1,1.271257840497337,-0.2,1.0603207942605046,-0.4811296195510062
